_unit_id , male_score , female_score , brand_Score
815719226 , 0.795087,0.185185,0.0197281
815719227 , 0.89783,0.10007,0.00210027
815719228 , 0.33,0.33,0.33
815719229 , 0.33,0.33,0.33
815719230 , 0.081489,0.909848,0.00866327
815719231 , 0.33,0.33,0.33
815719232 , 0.0055616,0.00373444,0.990704
815719233 , 0.846689,0.15228,0.00103194
815719234 , 0.33,0.33,0.33
815719235 , 0.33,0.33,0.33
815719236 , 0.0187373,0.0646343,0.916628
815719237 , 0.00144624,0.00632415,0.99223
815719238 , 0.33,0.33,0.33
815719239 , 3.30086e-06,2.08487e-05,0.999976
815719240 , 0.33,0.33,0.33
815719241 , 0.0113596,0.971403,0.0172369
815719242 , 0.33,0.33,0.33
815719243 , 0.960193,0.02589,0.0139171
815719244 , 0.706543,0.253849,0.0396084
815719245 , 0.33,0.33,0.33
815719246 , 0.274259,0.662085,0.0636564
815719247 , 0.33,0.33,0.33
815719248 , 0.33,0.33,0.33
815719249 , 0.33,0.33,0.33
815719250 , 0.68183,0.18162,0.136549
815719251 , 0.017716,0.977844,0.00444047
815719252 , 0.146854,0.209704,0.643442
815719253 , 0.33,0.33,0.33
815719254 , 0.33,0.33,0.33
815719255 , 0.33,0.33,0.33
815719256 , 0.0063975,0.00306476,0.990538
815719257 , 0.637864,0.339504,0.0226323
815719258 , 0.33,0.33,0.33
815719259 , 0.33,0.33,0.33
815719260 , 0.00013159,0.000271823,0.999597
815719261 , 0.33,0.33,0.33
815719262 , 0.0148829,0.0086587,0.976458
815719263 , 0.33,0.33,0.33
815719264 , 0.33,0.33,0.33
815719265 , 0.33,0.33,0.33
815719266 , 0.00817195,0.000101588,0.991727
815719267 , 0.837899,0.123636,0.0384658
815719268 , 0.33,0.33,0.33
815719269 , 0.33,0.33,0.33
815719270 , 0.733505,0.153249,0.113246
815719271 , 0.33,0.33,0.33
815719272 , 0.33,0.33,0.33
815719273 , 0.33,0.33,0.33
815719274 , 0.33,0.33,0.33
815719275 , 0.065289,0.00615798,0.928553
815719276 , 0.421324,0.569265,0.00941038
815719277 , 5.95575e-05,0.998772,0.00116834
815719278 , 0.0676773,0.928181,0.00414174
815719279 , 0.33,0.33,0.33
815719280 , 0.6436,0.342346,0.0140539
815719281 , 0.33,0.33,0.33
815719282 , 0.191955,0.79881,0.00923446
815719283 , 0.432669,0.0643637,0.502968
815719284 , 0.437822,0.551925,0.0102524
815719285 , 0.366781,0.47692,0.156299
815719286 , 0.0118945,0.000558763,0.987547
815719287 , 0.33,0.33,0.33
815719288 , 0.33,0.33,0.33
815719289 , 0.33,0.33,0.33
815719290 , 0.33,0.33,0.33
815719291 , 0.33,0.33,0.33
815719292 , 0.588843,0.402155,0.00900116
815719293 , 0.33,0.33,0.33
815719294 , 0.33,0.33,0.33
815719295 , 0.33,0.33,0.33
815719296 , 0.0674228,0.910567,0.0220101
815719297 , 0.00746395,0.00690188,0.985634
815719298 , 0.33,0.33,0.33
815719299 , 0.76,0.0913837,0.148616
815719300 , 0.33,0.33,0.33
815719301 , 0.692542,0.23615,0.0713085
815719302 , 0.00638082,0.0133251,0.980294
815719303 , 0.0244934,0.914897,0.0606092
815719304 , 0.33,0.33,0.33
815719305 , 0.33,0.33,0.33
815719306 , 0.0268895,0.972146,0.000964719
815719307 , 0.456286,0.506804,0.0369098
815719308 , 0.00689426,0.00813535,0.98497
815719309 , 0.33,0.33,0.33
815719310 , 0.33,0.33,0.33
815719311 , 0.33,0.33,0.33
815719312 , 0.33,0.33,0.33
815719313 , 0.0959723,0.866043,0.0379844
815719314 , 0.33,0.33,0.33
815719315 , 0.33,0.33,0.33
815719316 , 0.0293896,0.0369916,0.933619
815719317 , 0.00131704,0.00564726,0.993036
815719318 , 0.33,0.33,0.33
815719319 , 0.966244,0.0200438,0.0137117
815719320 , 0.33,0.33,0.33
815719321 , 0.209503,0.0726066,0.71789
815719322 , 0.33,0.33,0.33
815719323 , 0.0113848,0.873564,0.115051
815719324 , 0.122021,0.326544,0.551436
815719325 , 0.33,0.33,0.33
815719326 , 0.33,0.33,0.33
815719327 , 0.33,0.33,0.33
815719328 , 0.33,0.33,0.33
815719329 , 0.33,0.33,0.33
815719330 , 0.00648785,0.993081,0.000430804
815719331 , 0.33,0.33,0.33
815719332 , 0.33,0.33,0.33
815719333 , 0.00660497,0.000197386,0.993198
815719334 , 0.33,0.33,0.33
815719335 , 0.33,0.33,0.33
815719336 , 0.0113596,0.971403,0.0172369
815719337 , 0.33,0.33,0.33
815719338 , 0.901071,0.0483093,0.0506201
815719339 , 0.33,0.33,0.33
815719340 , 0.33,0.33,0.33
815719341 , 0.40641,0.579883,0.0137078
815719342 , 0.0242846,0.03143,0.944285
815719343 , 0.08684,0.840124,0.0730361
815719344 , 0.984406,0.00561378,0.00998028
815719345 , 0.33,0.33,0.33
815719346 , 0.33,0.33,0.33
815719347 , 0.33,0.33,0.33
815719348 , 0.33,0.33,0.33
815719349 , 0.329059,0.124067,0.546873
815719350 , 0.0651847,0.893753,0.0410622
815719351 , 0.33,0.33,0.33
815719352 , 0.208217,0.0580264,0.733757
815719353 , 0.33,0.33,0.33
815719354 , 0.00145912,0.996734,0.00180703
815719355 , 0.199522,0.0578448,0.742633
815719356 , 0.33,0.33,0.33
815719357 , 0.33,0.33,0.33
815719358 , 0.014908,0.982641,0.00245072
815719359 , 0.33,0.33,0.33
815719360 , 0.862731,0.110379,0.0268904
815719361 , 0.33,0.33,0.33
815719362 , 0.33,0.33,0.33
815719363 , 0.33,0.33,0.33
815719364 , 0.708269,0.288449,0.00328188
815719365 , 0.33,0.33,0.33
815719366 , 0.33,0.33,0.33
815719367 , 0.33,0.33,0.33
815719368 , 0.33,0.33,0.33
815719369 , 0.33,0.33,0.33
815719370 , 0.0850246,0.070698,0.844278
815719371 , 0.33,0.33,0.33
815719372 , 0.33,0.33,0.33
815719373 , 0.08553,0.903768,0.0107021
815719374 , 0.33,0.33,0.33
815719375 , 0.33,0.33,0.33
815719376 , 0.33,0.33,0.33
815719377 , 0.33,0.33,0.33
815719378 , 0.0899578,0.90514,0.0049026
815719379 , 0.0343231,0.0111559,0.954521
815719380 , 0.33,0.33,0.33
815719381 , 0.33,0.33,0.33
815719382 , 0.33,0.33,0.33
815719383 , 0.985112,0.0110162,0.00387184
815719384 , 0.00817195,0.000101588,0.991727
815719385 , 0.467024,0.530666,0.00230985
815719386 , 0.0457957,0.00661946,0.947585
815719387 , 0.33,0.33,0.33
815719388 , 0.212721,0.775122,0.012157
815719389 , 0.33,0.33,0.33
815719390 , 0.80768,0.054263,0.138057
815719391 , 0.941305,0.0491583,0.00953644
815719392 , 0.33,0.33,0.33
815719393 , 0.33,0.33,0.33
815719394 , 0.0366137,0.0674766,0.89591
815719395 , 0.33,0.33,0.33
815719396 , 0.042395,0.0767202,0.880885
815719397 , 1.5135e-05,8.16889e-09,0.999985
815719398 , 0.318296,0.671078,0.0106264
815719399 , 0.0395563,0.0615388,0.898905
815719400 , 0.270825,0.0285256,0.700649
815719401 , 0.33,0.33,0.33
815719402 , 0.0592531,0.0304965,0.91025
815719403 , 0.611807,0.382016,0.00617755
815719404 , 0.33,0.33,0.33
815719405 , 0.529816,0.379894,0.0902901
815719406 , 0.33,0.33,0.33
815719407 , 0.00131704,0.00564726,0.993036
815719408 , 0.0203982,0.956345,0.0232564
815719409 , 0.33,0.33,0.33
815719410 , 0.33,0.33,0.33
815719411 , 0.0440209,0.285004,0.670975
815719412 , 0.33,0.33,0.33
815719413 , 0.33,0.33,0.33
815719414 , 0.33,0.33,0.33
815719415 , 0.79251,0.0485234,0.158967
815719416 , 0.372528,0.288511,0.338962
815719417 , 0.00402094,0.00422318,0.991756
815719418 , 0.33,0.33,0.33
815719419 , 0.33,0.33,0.33
815719420 , 0.020021,0.166137,0.813842
815719421 , 0.33,0.33,0.33
815719422 , 0.33,0.33,0.33
815719423 , 0.33,0.33,0.33
815719424 , 0.528972,0.467622,0.00340616
815719425 , 0.33,0.33,0.33
815719426 , 0.00199315,0.0119843,0.986023
815719427 , 0.33,0.33,0.33
